"","Date","TOD","Exchange","Volume","Proportion"
"85",2014-05-05,"After-Hours","BATS",34091,0.0594193148068101
"86",2014-05-06,"After-Hours","BATS",36578,0.0705377787291321
"87",2014-05-07,"After-Hours","BATS",42090,0.0683582171969071
"88",2014-05-08,"After-Hours","BATS",18558,0.0479013786036379
"89",2014-05-09,"After-Hours","BATS",28019,0.0733612266057832
"90",2014-05-12,"After-Hours","BATS",21800,0.0426297469592084
"91",2014-05-13,"After-Hours","BATS",37568,0.0632664540270728
"92",2014-05-14,"After-Hours","BATS",30185,0.101276313052348
"93",2014-05-15,"After-Hours","BATS",34367,0.0678355855055643
"94",2014-05-16,"After-Hours","BATS",52072,0.0829910700767084
"95",2014-05-19,"After-Hours","BATS",120456,0.0850905715583479
"96",2014-05-20,"After-Hours","BATS",32035,0.0768994414078347
"97",2014-05-21,"After-Hours","BATS",15206,0.0351296280038997
"98",2014-05-22,"After-Hours","BATS",20001,0.101598573627345
"99",2014-05-23,"After-Hours","BATS",9993,0.055049662033747
"100",2014-05-27,"After-Hours","BATS",642798,0.308369464995543
"101",2014-05-28,"After-Hours","BATS",62734,0.0774074298003921
"102",2014-05-29,"After-Hours","BATS",13292,0.0480619033844374
"103",2014-05-30,"After-Hours","BATS",19165,0.0557465647433884
"104",2014-06-02,"After-Hours","BATS",38351,0.0825652916190341
"105",2014-06-03,"After-Hours","BATS",24485,0.04374696263686
"106",2014-06-04,"After-Hours","BATS",19889,0.0450439024611197
"107",2014-06-05,"After-Hours","BATS",65308,0.0828682872855269
"108",2014-06-06,"After-Hours","BATS",78857,0.0718234711201463
"109",2014-06-09,"After-Hours","BATS",20009,0.0624188919391066
"110",2014-06-10,"After-Hours","BATS",21380,0.11699106424659
"111",2014-06-11,"After-Hours","BATS",592767,0.383957482502988
"112",2014-06-12,"After-Hours","BATS",69076,0.109332932359389
"113",2014-06-13,"After-Hours","BATS",20289,0.0821210870145955
"114",2014-06-16,"After-Hours","BATS",34869,0.0735904606130956
"115",2014-06-17,"After-Hours","BATS",19491,0.0406038814402493
"116",2014-06-18,"After-Hours","BATS",27000,0.0567178037185873
"117",2014-06-19,"After-Hours","BATS",15478,0.0525288725535114
"118",2014-06-20,"After-Hours","BATS",5521,0.0241931596590785
"119",2014-06-23,"After-Hours","BATS",8607,0.0306630660928549
"120",2014-06-24,"After-Hours","BATS",20009,0.0604612934710022
"121",2014-06-25,"After-Hours","BATS",42008,0.105875740673998
"122",2014-06-26,"After-Hours","BATS",14720,0.0565329769297831
"123",2014-06-27,"After-Hours","BATS",17977,0.0558751767759181
"124",2014-06-30,"After-Hours","BATS",20718,0.056528097613149
"125",2014-07-01,"After-Hours","BATS",663306,0.154518633269077
"126",2014-07-02,"After-Hours","BATS",106441,0.0647311166195155
"127",2014-07-03,"After-Hours","BATS",105711,0.0586175136672169
